Plan 2094,Tanterra,Elev A,Roof,"$5,610.01","$6,981.45"
Plan 2094,Tanterra,Elev A - Opt Outdoor Room,Roof,"$5,994.19","$7,462.01"
Plan 2094,Tanterra,Elev B,Roof,"$6,100.21","$7,600.01"
Plan 2094,Tanterra,Elev B - Outdoor Room Opt,Roof,"$6,458.76","$8,046.69"
Plan 2094,Tanterra,Elev C,Roof,"$6,260.04","$7,821.49"
Plan 2094,Tanterra,Elev C - Outdoor Room Opt,Roof,"$6,272.55","$7,831.93"
Plan 2321,Tanterra,Elev A,Roof,"$4,499.16","$5,594.70"
Plan 2321,Tanterra,Elev A - Outdoor Room Opt,Roof,"$4,700.00","$5,844.86"
Plan 2321,Tanterra,Elev B,Roof,"$4,970.95","$6,219.74"
Plan 2321,Tanterra,Elev B - Outdoor Room Opt,Roof,"$5,204.08","$6,493.74"
Plan 2321,Tanterra,Elev C,Roof,"$4,791.26","$5,992.81"
Plan 2321,Tanterra,Elev C - Outdoor Room Opt,Roof,"$5,213.48","$6,525.10"
Plan 2517,Tanterra,Elev A,Roof,"$4,317.59","$5,366.15"
Plan 2517,Tanterra,Elev A - Outdoor Room Opt,Roof,"$4,681.73","$5,823.17"
Plan 2517,Tanterra,Elev B,Roof,"$5,278.38","$6,585.67"
Plan 2517,Tanterra,Elev B - Outdoor Room Opt,Roof,"$5,651.49","$7,053.95"
Plan 2517,Tanterra,Elev C ,Roof,"$4,806.37","$6,005.97"
Plan 2517,Tanterra,Elev C -Outdoor Room Opt,Roof,"$5,295.48","$6,622.89"
Plan 2633,Tanterra,Elev A,Roof,"$6,006.51","$7,497.19"
Plan 2633,Tanterra,Elev A - Outdoor Room Opt,Roof,"$6,715.16","$8,384.12"
Plan 2633,Tanterra,Elev B,Roof,"$5,366.92","$6,682.21"
Plan 2633,Tanterra,Elev B - Outdoor Room Opt,Roof,"$6,095.45","$7,594.39"
Plan 2633,Tanterra,Elev C ,Roof,"$5,424.88","$6,792.43"
Plan 2633,Tanterra,Elev C -Outdoor Room Opt,Roof,"$6,097.24","$7,637.57"
Plan 2633,Tanterra,Elev A - Fireplace Opt,Roof,"$5,398.45","$6,737.11"
Plan 2633,Tanterra,Elev A - Outdoor Room / Fireplace Opt,Roof,"$5,778.40","$7,213.16"
Plan 2633,Tanterra,Elev B - Fireplace Opt,Roof,"$4,836.90","$6,019.69"
Plan 2633,Tanterra,Elev B - Outdoor Room / Fireplace Opt,Roof,"$5,229.59","$6,512.06"
Plan 2633,Tanterra,Elev C - Fireplace Opt,Roof,"$5,445.47","$6,818.17"
Plan 2633,Tanterra,Elev C -Outdoor Room / Fireplace Opt,Roof,"$6,123.38","$7,670.25"
